name,rating,pricing,review_count,street address,Is Closed,Contact#,latitude,longitude
The Coop,3.8,2.0,43,274-274 King Street W,False,+12897782667,43.26,-79.88
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Ark and Anchor,4.3,2.0,14,300 King Street W,False,+19057519345,43.26,-79.88
Moodys,3.8,,14,107 George Street,False,+12893096449,43.26,-79.88
Electric Diner,3.5,,20,96 George Street,False,+19055269512,43.26,-79.88
Amigos,4.4,,16,109 George Street,False,+19052671532,43.26,-79.88
Planted in Hamilton,4.5,2.0,37,211 Locke Street S,False,+12893896676,43.25,-79.89
Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,+19055250309,43.26,-79.88
Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,+12893898779,43.26,-79.88
Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,+19055771000,43.26,-79.88
The Burnt Tongue,4.4,2.0,41,182 Locke Street S,False,+12893891156,43.26,-79.89
Radius,3.2,3.0,94,151 James Street S,False,+19053931658,43.25,-79.87
The West Town Bar & Grill,3.3,2.0,48,214 Locke Street S,False,+19055701412,43.25,-79.89
Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,+13658885686,43.26,-79.88
Tomah,5.0,,7,132 Queen Street S,False,+19055221919,43.26,-79.88
Durand Coffee,4.5,2.0,28,142 Charlton Avenue W,False,+19053939150,43.25,-79.88
Hambrgr,4.3,2.0,207,49 King William Street,False,+12893891212,43.26,-79.87
The French,4.2,3.0,100,37 King William Street,False,+19055283737,43.26,-79.87
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
The Mule,3.9,2.0,181,41 King William Street,False,+12893892555,43.26,-79.87
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Charred Chicken,4.2,2.0,117,244 James Street N,False,+12893960662,43.26,-79.87
Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,+12893896565,43.26,-79.87
Mesa,4.1,2.0,57,255 James Street N,False,+12892469696,43.26,-79.87
Black Forest Inn European Cuisine,3.8,2.0,53,255 King Street E,False,+19055283538,43.25,-79.86
August 8,3.9,2.0,124,1 Wilson Street,False,+19055243838,43.26,-79.87
Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,+19055226999,43.26,-79.87
Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,+19054070459,43.26,-79.87
Motel Restaurant,4.4,2.0,59,359 Barton Street E,False,+12893962384,43.26,-79.85
Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,+19059631365,43.26,-79.87
The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,+19055361146,43.26,-79.87
Ajio Sushi,4.2,2.0,43,161 King Street E,False,+19055268888,43.22,-79.75
Green Bar,4.5,1.0,17,236 James Street N,False,+12893962288,43.26,-79.87
Born and Raised,3.8,2.0,25,224 James Street N,False,+12897685233,43.26,-79.87
Shakespeare's Steak and Seafood,4.2,3.0,23,181 Main Street E,False,+19055280689,43.25,-79.86
Synonym,4.7,,12,328 James Street N,False,+19055257974,43.26,-79.87
Pinks,4.0,1.0,21,1335 Main Street W,False,+19053174657,43.26,-79.92
The Phoenix Bar & Grill,3.8,2.0,19,1280 Main Street W,False,+19055259140,43.26,-79.92
Dough Box,3.5,,22,1457 Main Street W,False,+12893892050,43.26,-79.92
Williams Fresh Cafe,2.7,2.0,19,1309 Main Street W,False,+19055222636,43.26,-79.92
The Arch Noodle House,3.3,,17,1309 Main Street W,False,+19055258088,43.26,-79.92
Tally Ho,3.9,2.0,27,1536 Main Street W,False,+19055296043,43.26,-79.92
Mr  Gao,3.3,2.0,35,1561 Main Street W,False,+12893091363,43.26,-79.93
Boston Pizza,3.5,2.0,21,1563 Main Street W,False,+19057771919,43.26,-79.93
Prime Pita,4.7,,3,1309 Main St W,False,,43.26,-79.92
Maccheroni Cucina Alfresco,3.8,2.0,11,1560 Main Street W,False,+19055276422,43.26,-79.93
Starbucks,3.7,2.0,6,1341 Main Street W,False,,43.26,-79.92
La Piazza,3.5,,4,1280 Main Street W,False,,43.26,-79.92
Tim Hortons,4.3,,3,1280 Main St W,False,+19055259140,43.26,-79.92
Yogurty's Froyo,3.6,1.0,9,1309 Main Street W,False,+19055252523,43.26,-79.92
Maple Leaf Pancake House,2.7,1.0,22,1520 Main St W,False,+19055224995,43.26,-79.92
Taco Del Mar,3.0,,3,1331-1335 Main St W.,False,+12893890900,43.26,-79.92
Gino's Pizza,2.4,1.0,12,1309 Main Street W,False,+19055254444,43.26,-79.92
TwelvEighty Bar & Grill,4.0,,2,1280 Main Street W,False,+19055259140,43.26,-79.92
Subway,2.5,1.0,2,1335 Main Street W,False,+19055227827,43.26,-79.92
CoCo Fresh Tea & Juice,5.0,,1,1548 Main Street W,False,+12893960888,43.26,-79.93
Caro Restaurant and Bar,4.4,,45,4 Ottawa Street N,False,+19053124545,43.24,-79.82
Hambrgr Ottawa Street,4.1,2.0,72,207 Ottawa Street N,False,+19053121313,43.25,-79.82
Purple Pear,4.5,3.0,19,946 Barton Street E,False,+19055277179,43.25,-79.82
Cafe Baffico,4.8,,9,1375 King Street E,False,+12892469965,43.24,-79.82
Festival Café,4.4,,5,1013 King St E,False,+12893898244,43.25,-79.83
MERK,4.5,2.0,14,189 Ottawa St N,False,+19055446767,43.25,-79.82
Maipai,4.6,,14,631 Barton Street E,False,,43.26,-79.84
Shorty's Pizza,4.2,,21,1099 Cannon Street E,False,+19053129293,43.25,-79.82
Vintage Coffee Roasters,4.8,1.0,9,977 King Street E,False,+14169387951,43.25,-79.84
Willard’s Ice Cream,4.7,,7,942 Main St E,False,,43.25,-79.83
Hammerhead's On Ottawa,4.6,,21,80 Ottawa Street N,False,+19059239293,43.24,-79.82
Gage Park Diner,4.1,2.0,7,975 Main Street E,False,+12893898333,43.25,-79.83
Tim Hortons,3.8,1.0,12,65 Ottawa Street N,False,+19055444515,43.24,-79.82
Tall Tree Sandwich Company,5.0,,1,1000 King St E,False,+12892469233,43.25,-79.83
The Taco Station,2.6,,5,,False,+19055431414,43.25,-79.83
Golden Tenders,5.0,,1,1150 King Street E,False,+13653668108,43.25,-79.83
The Capitol Bar,4.6,,5,973 King Street E,False,+12893891001,43.25,-79.84
Mikey's Cream Pies,4.8,,5,775 Barton Street East,False,+19055453777,43.26,-79.83
Boardwalk Cheesesteaks,4.5,,4,131 Ottawa Street North,False,+19053931771,43.25,-79.82
Taste of Poland,5.0,2.0,1,1145 King Street E,False,+19052979375,43.25,-79.83
Bardō Locke Street,4.3,2.0,293,258 Locke Street S,False,+19055222999,43.25,-79.89
Durand Coffee,4.5,2.0,28,142 Charlton Avenue W,False,+19053939150,43.25,-79.88
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Planted in Hamilton,4.5,2.0,37,211 Locke Street S,False,+12893896676,43.25,-79.89
The Burnt Tongue,4.4,2.0,41,182 Locke Street S,False,+12893891156,43.26,-79.89
Radius,3.2,3.0,94,151 James Street S,False,+19053931658,43.25,-79.87
The West Town Bar & Grill,3.3,2.0,48,214 Locke Street S,False,+19055701412,43.25,-79.89
Bronzie's Place,4.3,2.0,28,201 James Street S,False,+19055293403,43.25,-79.87
Bon Temps,4.9,,8,61 Young Street,False,+19055237177,43.25,-79.87
One Duke Tavern,3.6,2.0,24,1 Duke Street,False,+19055403853,43.25,-79.87
Tomah,5.0,,7,132 Queen Street S,False,+19055221919,43.26,-79.88
Kenzo,4.1,,24,21 King Street E,False,+19055776666,43.26,-79.87
Famous Recipe,4.9,,9,158 King Street W,False,+12893899740,43.26,-79.87
Amo Gelato Cafe,4.5,,12,171 Locke Street S,False,+12893965693,43.26,-79.89
Democracy,3.8,2.0,39,202 Locke Street S,False,+12893892466,43.25,-79.89
Relay Coffee Roasters,4.3,,10,27 King William Street,False,+19057693213,43.26,-79.87
The Cat 'N' Fiddle,3.8,2.0,14,174 John Street S,False,+19055253855,43.25,-79.87
Amigos,4.4,,16,109 George Street,False,+19052671532,43.26,-79.88
Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,+19055250309,43.26,-79.88
La Luna,3.8,2.0,66,306 King Street W,False,+19055770233,43.26,-79.88
Bardō Locke Street,4.3,2.0,293,258 Locke Street S,False,+19055222999,43.25,-79.89
Pho Nhung,4.4,,18,85 Queen St N,False,+19055258008,43.26,-79.88
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
The Coop,3.8,2.0,43,274-274 King Street W,False,+12897782667,43.26,-79.88
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Ark and Anchor,4.3,2.0,14,300 King Street W,False,+19057519345,43.26,-79.88
Moodys,3.8,,14,107 George Street,False,+12893096449,43.26,-79.88
Electric Diner,3.5,,20,96 George Street,False,+19055269512,43.26,-79.88
Amigos,4.4,,16,109 George Street,False,+19052671532,43.26,-79.88
Planted in Hamilton,4.5,2.0,37,211 Locke Street S,False,+12893896676,43.25,-79.89
Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,+19055250309,43.26,-79.88
Smoke's Poutinerie,3.3,1.0,38,112 George Street,False,+12893898779,43.26,-79.88
Buona Vita Pizza,4.4,1.0,12,82 Queen Street  N,False,+19055771000,43.26,-79.88
The Burnt Tongue,4.4,2.0,41,182 Locke Street S,False,+12893891156,43.26,-79.89
Radius,3.2,3.0,94,151 James Street S,False,+19053931658,43.25,-79.87
The West Town Bar & Grill,3.3,2.0,48,214 Locke Street S,False,+19055701412,43.25,-79.89
Mysweetooth Bakery Cafe,4.4,,5,301 Main Street W,False,+13658885686,43.26,-79.88
Tomah,5.0,,7,132 Queen Street S,False,+19055221919,43.26,-79.88
Durand Coffee,4.5,2.0,28,142 Charlton Avenue W,False,+19053939150,43.25,-79.88
541 Eatery & Exchange,4.5,1.0,43,541 Barton Street E,False,+12893890541,43.26,-79.84
Maipai,4.6,,14,631 Barton Street E,False,,43.26,-79.84
Vintage Coffee Roasters,4.8,1.0,9,977 King Street E,False,+14169387951,43.25,-79.84
Culantro Peruvian Cookery,3.6,2.0,23,537 Main Street E,False,+19057770060,43.25,-79.85
Gage Park Diner,4.1,2.0,7,975 Main Street E,False,+12893898333,43.25,-79.83
The Capitol Bar,4.6,,5,973 King Street E,False,+12893891001,43.25,-79.84
Willard’s Ice Cream,4.7,,7,942 Main St E,False,,43.25,-79.83
Big Top Family Restaurant,3.2,1.0,19,754 Main Street East,False,+19055491754,43.25,-79.84
Saha,5.0,,1,28 Eastbourne Avenue,False,+14168010995,43.25,-79.84
Festival Café,4.4,,5,1013 King St E,False,+12893898244,43.25,-79.83
Bruno's Pizza & Wings,3.5,2.0,6,718 Main Street E,False,+19057778888,43.25,-79.84
Mimi’s Asian Gourmet,4.0,,1,971 King Street E,False,+19053129888,43.25,-79.84
Mikey's Cream Pies,4.8,,5,775 Barton Street East,False,+19055453777,43.26,-79.83
Karlik Pastry,4.3,,4,762 Barton Street E,False,+19055442730,43.26,-79.83
Queen's Pizza & Wings,1.2,1.0,6,838 King Street E,False,+19055450101,43.25,-79.84
Apllada Greek Fusion Restaurant,4.7,,3,635 King St E,False,,43.25,-79.85
Tall Tree Sandwich Company,5.0,,1,1000 King St E,False,+12892469233,43.25,-79.83
Punjabi Shaan,5.0,,2,537 Main Street E,False,+19055235070,43.25,-79.85
Giuseppe's Italian Cuisine & Pizza,4.0,,5,762 King Street E,False,+19055253334,43.25,-79.84
Tim Hortons,3.0,1.0,2,888 Main St E,False,+19055493317,43.25,-79.83
Caro Restaurant and Bar,4.4,,45,4 Ottawa Street N,False,+19053124545,43.24,-79.82
Hambrgr Ottawa Street,4.1,2.0,72,207 Ottawa Street N,False,+19053121313,43.25,-79.82
Purple Pear,4.5,3.0,19,946 Barton Street E,False,+19055277179,43.25,-79.82
Cafe Baffico,4.8,,9,1375 King Street E,False,+12892469965,43.24,-79.82
Festival Café,4.4,,5,1013 King St E,False,+12893898244,43.25,-79.83
MERK,4.5,2.0,14,189 Ottawa St N,False,+19055446767,43.25,-79.82
Maipai,4.6,,14,631 Barton Street E,False,,43.26,-79.84
Shorty's Pizza,4.2,,21,1099 Cannon Street E,False,+19053129293,43.25,-79.82
Vintage Coffee Roasters,4.8,1.0,9,977 King Street E,False,+14169387951,43.25,-79.84
Willard’s Ice Cream,4.7,,7,942 Main St E,False,,43.25,-79.83
Hammerhead's On Ottawa,4.6,,21,80 Ottawa Street N,False,+19059239293,43.24,-79.82
Gage Park Diner,4.1,2.0,7,975 Main Street E,False,+12893898333,43.25,-79.83
